city_code,name,lat,lon,population_2025,population_2030,population_2041,population_2050,growth_2025_2041,growth_pct_2025_2041,rank_2041,rank_growth_2025_2041,emerging_after_2025,map_visible
7962,Columbus,40.016942,-82.969109,731.335,738.601,755.176,755.998,23.841000000000008,3.2599287604175937,27,129,False,True
2061,Concord,37.955179,-122.040456,273.051,278.216,277.556,275.106,4.5049999999999955,1.649874931789298,82,218,False,True
6255,Copperfield,29.877147,-95.666128,279.805,300.66,345.917,376.823,66.11199999999997,23.62788370472292,63,60,False,True
3324,Corona,33.857683,-117.575397,125.871,128.738,141.006,145.01,15.135000000000005,12.024215268012494,160,163,False,True
5975,Corpus Christi,27.731823,-97.400357,239.855,260.741,307.528,332.286,67.67300000000003,28.214129369827617,70,57,False,True
12710,Courthouse Green,37.13867,-76.538393,,55.404,68.436,75.599,,,322,,True,True
14889,Cumberland Heights,36.192885,-86.745406,,,,60.427,,,,,False,True
7276,Cutler Bay,25.59885,-80.377513,249.822,274.887,292.837,303.695,43.014999999999986,17.218259400693288,76,86,False,False
8116,Dale City,38.663674,-77.341115,201.864,209.856,220.309,228.027,18.444999999999993,9.137339991281255,100,150,False,True
6620,Dallas,32.911034,-96.809897,1521.118,1560.852,1775.53,1881.513,254.41200000000003,16.725329658843037,15,11,False,True
3926,Davis,38.553039,-121.743666,76.992,79.355,85.177,88.987,8.185000000000002,10.630974646716544,255,191,False,True
7905,Dayton,39.75105,-84.173102,136.938,137.691,138.582,138.498,1.6440000000000055,1.2005433115716642,162,244,False,True
7562,Daytona Beach,29.21048,-81.033063,73.722,108.644,216.441,246.868,142.719,193.59078701066167,105,23,False,True
8011,Dearborn Heights,42.330157,-83.352149,177.423,169.215,162.683,152.975,-14.740000000000009,-8.307829311870506,141,339,False,True
7492,Delray Beach,26.451123,-80.105864,122.425,133.108,146.958,153.846,24.533,20.03920767817031,155,127,False,True
15580,Deltona,28.899333,-81.221304,,,,74.863,,,,,False,True
6589,Denton,33.194326,-97.112969,134.805,140.354,162.654,169.678,27.84899999999999,20.65872927562033,142,115,False,True
6032,Denver,39.723059,-104.968002,2265.994,2363.121,2558.299,2718.122,292.30499999999984,12.899636980503912,8,8,False,True
8032,Detroit,42.415699,-83.154293,809.894,798.668,743.768,712.171,-66.12599999999998,-8.164772180063066,28,344,False,True
13364,Douglas County,41.285273,-96.140488,,,53.763,54.309,,,400,,True,True
7693,Downers Grove,41.779209,-87.976197,84.702,84.383,77.581,76.671,-7.120999999999995,-8.407121437510325,288,331,False,True
6493,Duncanville,32.64975,-96.896253,53.976,56.827,63.088,64.723,9.112000000000002,16.881576997183938,353,185,False,True
7406,Dunwoody,33.95315,-84.34075,73.894,75.961,97.277,107.32,23.382999999999996,31.643976506888237,222,130,False,True
12696,Durham,35.994812,-78.912596,,61.829,96.033,129.626,,,225,,True,True
8319,Easton,40.689614,-75.212625,56.728,57.1,57.508,57.51,0.7800000000000011,1.3749823720208734,383,255,False,True
3483,Eastvale,33.963918,-117.573467,57.217,58.268,63.228,70.539,6.011000000000003,10.505618959400183,349,207,False,True
6273,Edgecliff Village,32.669808,-97.364453,249.26,297.703,336.958,347.706,87.69800000000004,35.18334269437537,64,44,False,True
7456,Edgemoor,33.903096,-84.204114,129.804,133.828,178.699,195.586,48.89500000000001,37.66833071399957,132,76,False,True
5896,Edinburg,26.298555,-98.172544,65.915,74.338,90.496,111.458,24.58099999999999,37.29196692710307,243,126,False,True
14128,Edmond,35.64956,-97.492219,,,77.985,79.288,,,287,,True,True
5303,El Paso,31.805232,-106.370677,605.731,615.368,643.557,661.069,37.82600000000002,6.2446861725749585,34,98,False,True
7654,Elgin,42.039168,-88.280359,80.255,79.953,79.156,78.173,-1.0989999999999895,-1.3693850850414175,280,308,False,True
7720,Elmhurst,41.895545,-87.908371,223.924,221.448,217.999,210.111,-5.925000000000011,-2.645987031314201,103,328,False,True
5030,Emery Park,32.154952,-110.967758,124.4,132.446,218.928,241.499,94.52799999999999,75.98713826366559,101,38,False,True
2660,Encinitas,33.060149,-117.267827,79.46,81.969,91.046,97.893,11.586000000000013,14.580921218223022,240,174,False,True
14705,Enterprise,36.04609,-115.229432,,,,52.057,,,,,False,True
8088,Erie,42.112867,-80.07537,87.288,81.578,80.311,79.109,-6.97699999999999,-7.993080377600576,276,330,False,True
3039,Escondido,33.228898,-117.302563,415.167,476.112,516.057,542.629,100.89000000000004,24.30106439095594,44,36,False,True
14238,Essex,39.318716,-76.45156,,,61.955,64.063,,,359,,True,True
8060,Euclid,41.515179,-81.566733,290.669,282.181,259.902,210.936,-30.766999999999996,-10.584892093756128,84,340,False,True
4963,Eugene,44.068265,-123.102636,197.063,207.464,228.108,241.881,31.045000000000016,15.753845217011827,96,107,False,True
14109,Euless,32.775451,-97.085825,,,54.048,59.446,,,398,,True,True
12630,Evansville,37.964861,-87.535121,,55.947,57.372,59.703,,,387,,True,True
12141,Ewa Beach,21.330369,-158.020061,,50.861,59.246,60.292,,,368,,True,False
7315,Fair Oaks,33.899029,-84.546244,60.682,62.642,121.08,156.318,60.397999999999996,99.53198642101447,179,65,False,True
2918,Fairfield,38.261679,-122.028306,94.364,94.502,94.211,93.329,-0.1530000000000058,-0.1621381035140581,231,289,False,True
8158,Fairland,39.066324,-76.956412,55.301,56.677,76.82,83.339,21.51899999999999,38.91249706153594,290,139,False,True
14836,Fall Creek,29.941436,-95.269815,,,,65.29,,,,,False,True
8481,Fall River,41.695733,-71.153394,91.222,91.304,92.296,91.615,1.0740000000000123,1.1773475696652258,236,253,False,False
7198,Fargo,46.862081,-96.809773,98.08,103.441,130.628,131.965,32.54799999999999,33.18515497553017,171,105,False,True
7738,Farleys Addition,39.8148,-86.259186,105.235,107.59,110.911,111.474,5.676000000000002,5.3936427994488545,192,209,False,True
5331,Federal Way,47.332839,-122.336959,198.137,209.265,225.108,236.618,26.971000000000004,13.612298561096617,97,121,False,True
21017,Ferncrest,30.036823,-89.983693,,,,,,,,,False,True
8053,Firestone Park,41.059507,-81.487423,57.588,56.469,,,,,,,False,True
6573,Flower Mound,33.019199,-97.018472,226.153,240.268,285.347,295.488,59.19399999999999,26.174315618187684,80,66,False,True
7419,Forest City,28.654626,-81.439641,63.459,81.383,102.231,111.5,38.77199999999999,61.09771663593815,209,97,False,True
6146,Fort Collins,40.55382,-105.084271,141.903,147.023,158.297,169.567,16.394000000000005,11.552962234766007,150,159,False,True
7380,Fort Lauderdale,26.211377,-80.200224,1368.027,1498.495,1616.878,1725.922,248.85099999999989,18.190503550003026,19,13,False,True
13408,Fort Pierce,27.436949,-80.340209,,,57.422,59.65,,,386,,True,True
7913,Fort Wayne,41.06869,-85.130576,88.094,88.162,88.411,88.269,0.3170000000000073,0.3598428950893447,248,276,False,True
4099,Fresno,36.785833,-119.774404,685.33,694.287,707.186,712.176,21.855999999999995,3.1891205696525753,30,136,False,True
12626,Gainesville,29.652693,-82.363742,,99.439,153.931,191.61,,,152,,True,True
8151,Gaithersburg,39.158308,-77.231726,274.439,282.454,303.128,318.599,28.688999999999965,10.453689162254621,72,112,False,True
15522,Galveston County,29.289262,-94.808421,,,,51.651,,,,,False,True
21157,Garfield Heights,41.427726,-81.612744,,,,,,,,,False,True
8179,Glen Burnie,39.140977,-76.604004,59.39,60.527,114.443,118.903,55.053,92.69742380872201,188,71,False,True
14034,Glenwood Mobile Estates,48.060571,-122.148368,,,55.852,57.609,,,394,,True,True
7480,Gloster,33.934052,-84.082787,87.212,180.329,194.164,216.333,106.95199999999998,122.63449983947162,118,31,False,True
7185,Golden Gate,26.173548,-81.710912,55.926,57.937,63.068,69.1,7.141999999999996,12.770446661660042,354,200,False,True
7948,Grand Rapids,42.947739,-85.661354,215.899,216.108,216.594,216.147,0.6949999999999932,0.32190978188875036,104,257,False,True
6219,Greatwood,29.573767,-95.679166,57.883,64.263,85.759,95.988,27.875999999999998,48.15921773232209,254,114,False,True
6165,Greeley,40.406247,-104.715931,105.834,108.969,125.98,137.396,20.146,19.035470642704613,176,144,False,True
7934,Green Bay,44.512951,-88.014874,68.967,69.128,73.931,73.825,4.963999999999999,7.197645250627109,297,215,False,True
7969,Greensboro,36.059936,-79.807256,54.455,77.08,81.859,86.18,27.403999999999996,50.3241208337159,265,117,False,True
6397,Greenspoint,29.932723,-95.397185,56.397,64.213,83.954,91.79,27.556999999999995,48.86252814866038,259,116,False,True
6860,Gretna,29.889035,-90.041734,86.447,86.614,86.95,86.881,0.5030000000000001,0.5818594051846797,251,264,False,True
6327,Haltom City,32.805527,-97.272143,66.223,67.623,71.417,77.249,5.194000000000003,7.843196472524655,308,213,False,True
7729,Hammond,41.609465,-87.592552,301.148,300.192,291.001,281.338,-10.147000000000048,-3.3694396110882514,77,336,False,True
8095,Hampton,37.02348,-76.354977,57.417,90.778,99.812,101.722,42.394999999999996,73.8370169113677,215,89,False,True
21159,Hampton,37.026513,-76.350028,,,,,,,,,False,True
6309,Handley,32.729493,-97.246097,97.993,111.321,135.556,153.689,37.56300000000002,38.33232986029616,166,99,False,True
15474,Harlingen,26.196925,-97.686889,,,,54.529,,,,,False,True
8200,Harrisburg,40.268245,-76.872558,68.428,68.768,69.094,69.027,0.6659999999999968,0.9732857894429134,318,258,False,True
8457,Hartford,41.76119,-72.699739,174.432,174.255,173.188,171.962,-1.2439999999999998,-0.7131718950651256,137,309,False,True
5217,Hazel Dell,45.650239,-122.565936,259.716,269.788,350.476,373.086,90.75999999999999,34.94586394369234,60,41,False,True
4304,Hemet,33.756197,-116.961441,140.1,143.992,161.291,165.288,21.191000000000003,15.125624553890079,144,142,False,True
4786,Henderson,36.019093,-114.965863,76.374,79.769,91.755,94.171,15.381,20.139052557152958,237,161,False,True
12643,Hidden Hills,33.740605,-84.167886,,63.664,81.79,85.426,,,266,,True,True
2979,Hillgrove,33.990612,-117.932417,90.854,92.806,103.848,105.804,12.994,14.302067052633896,207,171,False,True
7573,Holiday Hill,30.342359,-81.585315,79.656,87.321,98.003,109.877,18.346999999999994,23.032791001305604,220,151,False,True
13297,Hollywood Park,29.63967,-98.479662,,,70.895,84.463,,,311,,True,True
7263,Homestead,25.481079,-80.448874,138.728,142.931,156.105,162.347,17.37699999999998,12.525950060550125,151,156,False,False
7037,Homewood,33.489776,-86.831424,59.269,60.605,119.738,124.747,60.469,102.02466719532977,180,64,False,True
1,Honolulu,21.335268,-157.884426,540.683,568.542,628.806,637.55,88.12300000000005,16.29845954098798,36,43,False,False
6237,Houston,29.746362,-95.467667,3955.046,4282.09,5020.616,5479.773,1065.5700000000002,26.942038095132148,3,1,False,True
8391,Huntington Station,40.8414,-73.402284,63.009,59.692,58.639,57.416,-4.369999999999997,-6.935517148343884,373,322,False,True
13290,Idaho Falls,43.490209,-112.000065,,,63.613,68.798,,,345,,True,True
6875,Indian Hills,38.954798,-95.262167,61.791,65.014,68.689,69.839,6.897999999999996,11.163438041138672,320,203,False,True
7765,Indianapolis,39.783452,-86.123877,228.577,230.038,243.997,245.536,15.420000000000016,6.746085564164381,90,160,False,True
4566,Indio,33.706481,-116.223384,174.538,180.683,195.766,201.662,21.22799999999998,12.162394435595674,115,141,False,True
6525,Irving,32.830433,-96.971851,181.347,185.086,194.462,201.269,13.11499999999998,7.231991706507403,117,170,False,True
6461,Jacinto City,29.790923,-95.178844,149.916,162.921,185.305,206.94,35.38900000000001,23.605885962805846,125,101,False,True
12656,Jacksonville,30.356075,-81.680274,,55.245,88.735,133.427,,,247,,True,True
7584,Jacksonville Beach,30.310497,-81.40502,61.136,63.511,73.357,77.447,12.220999999999997,19.989858675739328,299,173,False,True
13397,Johns Creek,34.042127,-84.228581,,,58.123,103.484,,,376,,True,True
15456,Johnsons Corner,39.082449,-108.509335,,,,89.931,,,,,False,True
7634,Joliet,41.534075,-88.103796,79.086,78.766,77.99,77.033,-1.0960000000000036,-1.385833143666393,286,307,False,True
7801,Jonestown,37.990587,-84.485895,103.237,103.817,139.954,140.824,36.71700000000001,35.565737090384275,161,100,False,True
14421,Kailua,21.402845,-157.76912,,,,86.652,,,,,False,False
7941,Kalamazoo,42.282935,-85.603213,57.298,57.356,57.475,54.122,0.1769999999999996,0.3089113058047394,384,285,False,True
6935,Kansas City,39.029391,-94.598704,344.125,355.473,374.058,384.366,29.932999999999993,8.698292771521974,56,110,False,True
5127,Keizer,44.959479,-122.999319,137.352,143.061,183.072,190.208,45.72,33.28673772496942,128,80,False,True
12527,Kennewick,46.203777,-119.169868,,56.829,93.768,100.222,,,234,,True,True
7828,Kenosha,42.578518,-87.840836,75.245,75.44,75.621,75.55,0.37599999999999056,0.4997009768090777,295,272,False,True
6127,Killeen,31.101704,-97.751692,51.923,61.938,94.608,144.521,42.685,82.2082699381777,229,87,False,True
7341,Kissimmee,28.313786,-81.420298,55.182,57.134,64.346,75.66,9.164000000000001,16.606864557283174,344,184,False,True
1814,La Rambla,33.736934,-118.298317,92.697,95.306,101.631,109.55,8.933999999999997,9.637852357681476,211,186,False,True
14003,Lacey,47.022142,-122.831606,,,72.044,75.072,,,305,,True,True
8193,Lackawanna,42.842949,-78.813583,52.726,52.234,,,,,,,False,True
7664,Lafayette,40.414341,-86.894121,68.251,68.641,76.033,76.456,7.7819999999999965,11.40203073947634,293,195,False,True
5187,Lake Oswego,45.408943,-122.618843,61.059,64.767,78.949,81.551,17.89,29.299529962822845,282,153,False,True
8403,Lake Ronkonkoma,40.826375,-73.105521,66.783,66.409,63.432,60.909,-3.350999999999999,-5.017744036656033,346,320,False,True
7674,Lake in the Hills,42.193354,-88.353791,58.273,58.108,57.547,56.828,-0.7260000000000062,-1.245860003775344,382,303,False,True
7250,Lakeland,28.0255,-81.943458,70.759,78.244,181.686,206.657,110.927,156.76733701719922,129,28,False,True
8074,Lakeside,37.622771,-77.544609,85.574,95.785,108.666,112.484,23.092,26.984831841447164,198,131,False,True
12655,Lakewood,30.203471,-81.610713,,65.239,80.788,99.452,,,273,,True,True
8347,Lakewood Township,40.092502,-74.217976,70.853,71.137,71.273,70.888,0.4200000000000017,0.5927765937927847,309,267,False,True
3788,Lancaster,34.691672,-118.120118,79.351,80.135,81.292,82.634,1.9410000000000025,2.4460939370644383,271,241,False,True
8214,Lancaster,40.037133,-76.31049,78.283,78.547,78.739,78.589,0.45600000000000307,0.5825019480602469,283,266,False,True
7976,Lansing,42.736664,-84.509053,72.315,72.405,72.728,72.703,0.4129999999999967,0.5711124939500749,302,269,False,True
5832,Laredo,27.518163,-99.479825,249.861,272.653,314.481,344.341,64.62,25.862379482992548,67,61,False,True
4714,Las Vegas,36.162796,-115.186743,2183.655,2232.369,2341.842,2431.504,158.1869999999999,7.244138840613553,10,20,False,True
14944,Laurel,39.096331,-76.853862,,,,78.854,,,,,False,True
4928,Laveen,33.387749,-112.086404,147.74,162.221,193.27,206.519,45.53,30.817652633003924,119,82,False,True
7783,Lawrence,39.83373,-86.025261,56.301,58.214,59.173,59.462,2.872,5.101152732633523,369,235,False,True
8517,Lawrence,42.707678,-71.164223,109.35,109.449,109.112,108.288,-0.23799999999999955,-0.21764974851394564,194,292,False,False
5788,Layton,41.104123,-112.011704,219.666,244.096,271.184,294.52,51.51800000000003,23.452878460936162,83,74,False,True
6070,Leander,30.54842,-97.849759,67.827,75.918,86.834,95.588,19.007000000000005,28.02276379612839,252,148,False,True
8137,Leesburg,39.104066,-77.530245,72.497,74.708,80.053,82.326,7.555999999999997,10.422500241389296,278,197,False,True
8312,Levittown,40.153684,-74.864182,97.724,98.036,98.041,97.384,0.31699999999999307,0.32438295608038253,219,277,False,True
7810,Lexington,38.046868,-84.49422,85.619,86.033,93.58,94.252,7.9609999999999985,9.298169798759618,235,192,False,True
13244,Liberty,44.891884,-123.041665,,,58.692,61.751,,,371,,True,True
6890,Lincoln,40.799369,-96.660965,178.522,182.855,186.836,188.727,8.314000000000021,4.657129093333047,123,190,False,True
8025,Lincoln Park,42.245802,-83.208779,200.04,197.247,190.99,134.305,-9.049999999999983,-4.524095180963799,121,334,False,True
6345,Lindberg,32.645053,-97.141371,210.973,221.227,245.178,252.237,34.204999999999984,16.21297512003905,89,103,False,True
6635,Little Elm,33.170339,-96.88582,55.734,58.241,62.797,67.434,7.062999999999995,12.672695302687758,355,201,False,True
2218,Livermore,37.678601,-121.76867,58.756,60.954,61.801,62.142,3.0450000000000017,5.182449451970865,360,233,False,True
4013,Lodi,38.12665,-121.283171,69.512,70.502,71.772,72.348,2.260000000000005,3.2512371964552957,306,240,False,True
6108,Longmont,40.184622,-105.103037,62.73,66.963,70.645,74.331,7.914999999999999,12.61756735214411,314,193,False,True
1725,Los Angeles,33.984236,-118.11672,12740.42,13069.762,13557.598,13862.284,817.1779999999999,6.414058563218481,2,2,False,True
7594,Louisville,38.225429,-85.740453,291.103,296.525,306.439,308.162,15.336000000000013,5.268238389848271,71,162,False,True
13313,Loveland,40.419525,-105.081593,,,62.541,67.451,,,357,,True,True
8505,Lowell,42.641675,-71.318216,104.535,104.631,105.811,103.521,1.2760000000000105,1.2206438035107958,204,248,False,False
12707,Loxley Gardens,36.811454,-76.343388,,67.313,71.466,73.906,,,307,,True,True
5936,Lubbock,33.557684,-101.881794,97.157,100.155,125.372,130.806,28.215000000000003,29.04062496783557,177,113,False,True
7855,Ludlow,39.126847,-84.596488,94.314,112.794,113.609,113.605,19.295,20.458256462455207,189,147,False,True
8523,Lynn,42.469576,-70.953723,116.362,116.449,116.067,115.169,-0.2950000000000017,-0.25351919011361246,186,294,False,False
4056,Madera,36.963517,-120.063031,65.649,66.777,68.289,68.998,2.6400000000000006,4.021386464378742,323,237,False,True
7644,Madison,43.077044,-89.394246,105.582,106.027,106.386,106.227,0.804000000000002,0.7614934363812033,202,254,False,True
14216,Mallard,35.331157,-80.793118,,,57.754,66.72,,,378,,True,True
8109,Manassas Park,38.776929,-77.488969,72.796,74.338,118.353,124.284,45.55699999999999,62.58173526017911,184,81,False,True
8511,Manchester,42.985636,-71.457892,65.881,65.875,65.564,64.979,-0.3170000000000073,-0.48117059546759655,336,295,False,False
3377,Manteca,37.804805,-121.225261,55.097,55.62,56.212,56.426,1.115000000000002,2.023703649926497,393,251,False,True
14712,Maricopa,33.063226,-112.035764,,,,57.464,,,,,False,True
12650,Marsh Creek,33.986066,-84.039892,,52.972,72.218,74.685,,,304,,True,True
5854,McAllen,26.230411,-98.253744,355.331,382.516,495.23,576.177,139.899,39.37145928725611,46,24,False,True
13990,McDowell Mountain Ranch,33.605252,-111.865982,,,67.867,72.356,,,326,,True,True
13327,Meadowview,29.555188,-95.346964,,,136.62,159.1,,,164,,True,True
6980,Memphis,35.095386,-89.931,356.215,356.936,359.799,360.051,3.584000000000003,1.0061339359656398,58,227,False,True
5494,Meridian,43.629465,-116.409781,61.677,63.037,67.515,69.213,5.838000000000001,9.465440926115084,327,208,False,True
4997,Mesa,33.379694,-111.832912,1398.369,1463.338,1677.082,1825.559,278.7130000000002,19.931291383032676,17,10,False,True
6815,Metairie,29.99931,-90.196761,285.896,286.242,287.791,288.0,1.8949999999999818,0.6628284411114467,79,242,False,True
7289,Miami,25.860611,-80.281365,2912.486,3007.825,3201.681,3329.947,289.19500000000016,9.92948978982217,7,9,False,False
178,Mililani,21.460262,-158.007409,51.888,52.667,55.372,56.001,3.4840000000000018,6.714461917977185,396,230,False,False
7846,Milwaukee,43.047311,-87.956277,701.928,703.243,704.298,703.243,2.3700000000000045,0.33764146750094093,31,238,False,True
7302,Minneapolis [Saint Paul],44.966262,-93.226851,1107.243,1122.51,1155.312,1187.217,48.06899999999996,4.341323449324129,24,77,False,True
2592,Mission Viejo,33.59274,-117.681857,365.221,503.483,542.269,576.299,177.048,48.476949572998265,42,16,False,True
3589,Modesto,37.656165,-120.984159,310.818,316.506,323.81,326.265,12.992000000000019,4.179938098823112,66,172,False,True
21506,Moline,41.495361,-90.53846,,,,,,,,,False,True
14149,Montgomery,32.352214,-86.267222,,,119.585,184.644,,,181,,True,True
5247,Montoya,31.848065,-106.545589,92.835,98.288,106.146,108.046,13.311000000000007,14.33834222006787,203,168,False,True
6710,Moore,35.396803,-97.539487,204.392,209.346,214.997,217.885,10.605000000000018,5.188559239109171,106,178,False,True
4141,Moreno Valley,33.924671,-117.234719,195.562,201.519,238.773,253.69,43.210999999999984,22.095805933668085,92,85,False,True
5095,Morning Sun Farms,33.168942,-111.57065,59.852,66.795,90.891,99.301,31.03900000000001,51.85958698122036,242,108,False,True
12693,Morrisville,35.797412,-78.845611,,71.522,83.235,90.113,,,262,,True,True
14891,Murfreesboro,35.854247,-86.372361,,,,59.589,,,,,False,True
3692,Murrieta,33.537445,-117.150939,257.413,265.762,281.791,300.624,24.377999999999986,9.470384168631726,81,128,False,True
5467,Nampa,43.566965,-116.570923,66.367,70.256,81.363,86.34,14.995999999999995,22.59556707399761,270,164,False,True
2446,Napa,38.310055,-122.304666,66.044,66.111,65.866,65.219,-0.17799999999999727,-0.2695172915026305,334,290,False,True
14881,Naples Manor,26.116406,-81.74906,,,,65.991,,,,,False,True
6429,Nassau Bay,29.563474,-95.106728,78.22,97.09,198.066,217.557,119.846,153.21656865251853,114,26,False,True
8487,New Bedford,41.64411,-70.9298,109.364,109.421,109.03,108.158,-0.3340000000000032,-0.305402143301272,195,296,False,False
8451,New Britain,41.673324,-72.780037,68.735,68.629,68.138,67.681,-0.5969999999999942,-0.8685531388666534,324,298,False,True
8421,New Haven,41.31559,-72.925489,146.173,145.41,142.945,140.065,-3.2280000000000086,-2.208342169894583,157,319,False,True
8018,New Hope,35.86096,-78.641633,150.299,169.611,250.844,270.784,100.54499999999999,66.8966526723398,86,37,False,True
6845,New Orleans,29.952663,-90.070252,258.413,258.655,259.764,259.701,1.350999999999999,0.5228065151521011,85,247,False,True
8354,New York City,40.737858,-73.932685,13920.148,13833.498,13562.013,13224.531,-358.1349999999984,-2.572781553759331,1,346,False,True
8102,Norfolk,36.910381,-76.305556,567.473,583.101,609.462,680.764,41.98900000000003,7.399294768209243,37,91,False,True
7873,North College Hill,39.210338,-84.557539,57.579,57.926,58.327,58.309,0.7479999999999976,1.2990847357543507,374,256,False,True
6363,North Richland Hills,32.871305,-97.226483,404.68,435.456,492.205,522.351,87.52499999999998,21.628200059306113,47,45,False,True
