project,area_bucket,district,market_segment,tenure,property_type,bedrooms_mode,median_buy_ttm,median_rent_ttm,gross_yield_ttm,payback_years_ttm,buy_count_ttm,rent_count_ttm,latest_buy_date,latest_rent_date
PARC CENTROS,150-160,19,OCR,99 yrs lease commencing from 2012,Condominium,,2883888.0,,,,1,0,2026-03-01,
THE GARDENS AT BISHAN,80-90,20,RCR,99 yrs lease commencing from 1997,Condominium,2,1528000.0,3850.0,3.0236,33.074,6,36,2026-06-01,2026-05-01
KENT RIDGE HILL RESIDENCES,50-60,5,RCR,99 yrs lease commencing from 2018,Apartment,1,970000.0,3700.0,4.5773,21.847,3,29,2026-03-01,2026-05-01
DUO RESIDENCES,50-60,7,CCR,99 yrs lease commencing from 2011,Apartment,1,1299000.0,4500.0,4.157,24.056,2,50,2026-06-01,2026-05-01
NUOVO,240-250,20,,,Executive Condominium,3,,5500.0,,,0,1,,2025-09-01
BAYSHORE PARK,>300,16,,,,5,,9350.0,,,0,4,,2026-05-01
CENTURY MANSIONS,80-90,23,OCR,Freehold,Apartment,3,,3300.0,,,0,7,2025-05-01,2026-05-01
SEA ESTA,210-220,18,OCR,99 yrs lease commencing from 2012,Condominium,,2700000.0,,,,1,0,2026-02-01,
LOYANG VALLEY,170-180,17,OCR,99 yrs lease commencing from 1982,Condominium,3,,4200.0,,,0,10,2025-07-01,2026-05-01
PASIR PANJANG GARDENS,80-90,5,,,,NA,,3975.0,,,0,2,,2026-05-01
TRIBECA,40-50,9,CCR,Freehold,Condominium,1,,3800.0,,,0,9,2025-05-01,2026-03-01
HOLLAND PEAK,290-300,10,,,,,,,,,0,0,,2025-04-01
THE MINT RESIDENCES,100-110,15,RCR,Freehold,Apartment,,1900000.0,,,,1,0,2026-03-01,2025-06-01
COCO PALMS,80-90,18,OCR,99 yrs lease commencing from 2008,Condominium,3,1605000.0,4200.0,3.1402,31.845,6,37,2026-06-01,2026-05-01
SKYE AT HOLLAND,80-90,10,CCR,99 yrs lease commencing from 2024,Apartment,,2663000.0,,,,74,0,2026-03-01,
ZEDGE,80-90,11,CCR,Freehold,Apartment,3,1750000.0,4000.0,2.7429,36.458,1,3,2026-04-01,2026-04-01
EDENZ LOFT,100-110,14,,,,NA,,4400.0,,,0,2,,2026-01-01
THE SCOTTS TOWER,>300,9,,,,3,,15800.0,,,0,1,,2025-11-01
TWENTYONE ANGULLIA PARK,>300,9,,,,4,,41000.0,,,0,1,,2025-08-01
MANDARIN GARDENS,60-70,15,OCR,99 yrs lease commencing from 1982,Condominium,1,965000.0,3300.0,4.1036,24.369,8,29,2026-05-01,2026-05-01
GLOUCESTER MANSIONS,80-90,11,,,,2,,4200.0,,,0,5,,2026-05-01
CARIBBEAN AT KEPPEL BAY,>300,4,,,,4,,20250.0,,,0,2,,2025-10-01
NON-LANDED HOUSING DEVELOPMENT,260-270,14,,,,NA,,4800.0,,,0,1,,2026-02-01
KOVAN 81,90-100,19,,,,3,,4250.0,,,0,1,,2026-01-01
SUITES @ NEWTON,60-70,11,,,,2,,3800.0,,,0,2,,2026-02-01
RIPPLE BAY,40-50,18,OCR,99 yrs lease commencing from 2011,Condominium,1,715000.0,2600.0,4.3636,22.917,5,30,2026-05-01,2026-05-01
SPAZIO @ KOVAN,120-130,19,,,,3,,4500.0,,,0,1,,2025-10-01
THE INFLORA,130-140,17,OCR,99 yrs lease commencing from 2012,Condominium,4,1775000.0,4200.0,2.8394,35.218,1,1,2025-09-01,2026-04-01
HIGH OAK CONDOMINIUM,110-120,21,RCR,99 yrs lease commencing from 1996,Condominium,3,1765000.0,4650.0,3.1615,31.631,4,4,2026-03-01,2026-02-01
AMBER SKYE,50-60,15,,,,1,,3900.0,,,0,1,,2025-12-01
SOPHIA 98,120-130,9,,,,,,,,,0,0,,2025-02-01
TRE RESIDENCES,60-70,14,RCR,99 yrs lease commencing from 2014,Condominium,2,,4000.0,,,0,7,2025-05-01,2026-04-01
OLA RESIDENCES,90-100,15,,,,2,,4225.0,,,0,2,,2025-10-01
1 CANBERRA,190-200,27,,,Executive Condominium,4,,8000.0,,,0,1,,2025-08-01
THE BALMORAL,250-260,10,,,,4,,9800.0,,,0,3,,2026-04-01
THE CALROSE,240-250,26,,,,4,,6100.0,,,0,1,,2026-02-01
CENTRAL IMPERIAL,60-70,14,RCR,Freehold,Apartment,3,988000.0,4200.0,5.1012,19.603,1,3,2026-06-01,2026-01-01
NORMANTON PARK,150-160,5,RCR,99 yrs lease commencing from 2019,Apartment,,3380000.0,,,,1,0,2025-10-01,
AVA TOWERS,100-110,12,RCR,Freehold,Apartment,3,1820000.0,3500.0,2.3077,43.333,1,3,2025-12-01,2026-05-01
PALISADES,350-400,5,RCR,Freehold,Condominium,,,,,,0,0,2025-02-01,
THE CLEMENT CANOPY,90-100,5,OCR,99 yrs lease commencing from 2016,Apartment,3,2090000.0,5550.0,3.1866,31.381,1,10,2025-10-01,2026-05-01
ONE ROSYTH,40-50,19,OCR,999 yrs lease commencing from 1886,Apartment,,,,,,0,0,2025-05-01,
THE WOODLEIGH RESIDENCES,110-120,13,RCR,99 yrs lease commencing from 2017,Apartment,4,3410888.0,10800.0,3.7996,26.319,1,1,2026-04-01,2025-08-01
KENT RESIDENCES,50-60,8,RCR,Freehold,Apartment,,,,,,0,0,2025-05-01,2025-06-01
THE ARDEN,90-100,23,OCR,99 yrs lease commencing from 2023,Apartment,NA,1854000.0,4700.0,3.0421,32.872,1,5,2025-08-01,2026-05-01
HAIG 162,50-60,15,RCR,Freehold,Apartment,2,,3200.0,,,0,3,2025-01-01,2026-03-01
1919,60-70,9,CCR,Freehold,Apartment,2,1535000.0,4450.0,3.4788,28.745,1,4,2025-10-01,2026-05-01
SUMMER SCENT,100-110,19,,,,2,,3400.0,,,0,2,,2025-09-01
PEAK RESIDENCE,120-130,11,,,,,,,,,0,0,,2025-03-01
SENNETT RESIDENCE,>300,13,,,,4,,13000.0,,,0,1,,2026-02-01
NOVENA LODGE,70-80,11,,,,2,,3650.0,,,0,3,,2026-03-01
BLISS LOFT,130-140,12,RCR,Freehold,Apartment,,1398000.0,,,,1,0,2026-05-01,
ROBIN SUITES,50-60,10,CCR,Freehold,Apartment,2,1275000.0,3850.0,3.6235,27.597,1,6,2025-10-01,2026-04-01
QUESTA @ DUNMAN,120-130,15,,,,,,,,,0,0,,2025-04-01
SEVENTY SAINT PATRICK'S,110-120,15,OCR,Freehold,Condominium,3,2990000.0,6500.0,2.6087,38.333,3,3,2026-06-01,2026-04-01
HOLT RESIDENCES,260-270,10,,,,4,,10000.0,,,0,1,,2026-01-01
DE ROYALE,90-100,12,RCR,Freehold,Condominium,2,1830000.0,3900.0,2.5574,39.103,1,5,2025-08-01,2026-05-01
THE SENTINEL,>300,11,,,,4,,7500.0,,,0,1,,2026-02-01
PARADISE PALMS,100-110,15,RCR,Freehold,Apartment,3,,5000.0,,,0,7,2025-04-01,2026-04-01
CRYSTAL COURT,140-150,10,,,,3,,6080.0,,,0,3,,2026-04-01
POLLEN & BLEU,80-90,10,CCR,99 yrs lease commencing from 2012,Condominium,2,,4800.0,,,0,1,2025-04-01,2025-08-01
CITYLIGHTS,250-260,8,,,,3,,10700.0,,,0,1,,2025-12-01
FORETT@BUKIT TIMAH,60-70,21,RCR,Freehold,Apartment,2,1680000.0,4200.0,3.0,33.333,5,23,2026-02-01,2026-05-01
EUPHONY GARDENS,90-100,27,OCR,99 yrs lease commencing from 1998,Condominium,2,980000.0,3175.0,3.8878,25.722,1,2,2026-03-01,2025-08-01
MI CASA,120-130,23,OCR,99 yrs lease commencing from 2008,Condominium,4,1733880.0,4600.0,3.1836,31.411,3,7,2026-02-01,2026-04-01
SEA ESTA,40-50,18,,,,1,,2600.0,,,0,5,,2026-01-01
HERTFORD COLLECTION,100-110,8,,,,2,,4200.0,,,0,2,,2026-01-01
BOTANIKA,190-200,10,,,,4,,13200.0,,,0,1,,2026-05-01
SERAYA 9,50-60,15,RCR,Freehold,Apartment,NA,1035000.0,3100.0,3.5942,27.823,1,1,2026-06-01,2025-08-01
HILLVISTA,100-110,23,OCR,Freehold,Condominium,3,1868880.0,4700.0,3.0179,33.136,1,9,2026-01-01,2026-04-01
GRAND DUNMAN,240-250,15,RCR,99 yrs lease commencing from 2022,Apartment,,6020000.0,,,,1,0,2026-05-01,
RESIDENCES @ EVELYN,140-150,11,CCR,Freehold,Condominium,3,3950000.0,7500.0,2.2785,43.889,1,20,2025-08-01,2026-05-01
THE PEAK@BALMEG,180-190,5,RCR,Freehold,Condominium,3,3250000.0,7500.0,2.7692,36.111,1,3,2025-10-01,2026-04-01
LE SHANTIER,150-160,12,RCR,Freehold,Apartment,3,2600888.0,5300.0,2.4453,40.894,1,3,2025-12-01,2026-05-01
TANAMERA CREST,180-190,16,OCR,99 yrs lease commencing from 2000,Condominium,,,,,,0,0,2025-03-01,
WILKIE STUDIO,70-80,9,,,,2,,4000.0,,,0,1,,2025-08-01
SOUTHAVEN II,280-290,21,OCR,999 yrs lease commencing from 1877,Condominium,3,3050000.0,7500.0,2.9508,33.889,1,1,2025-09-01,2026-05-01
SIGLAP V,30-40,15,,,,1,,2575.0,,,0,2,,2026-03-01
THE BELVEDERE,120-130,15,RCR,Freehold,Condominium,3,3620000.0,6700.0,2.221,45.025,1,17,2025-08-01,2026-05-01
SHELFORD GREEN,>300,11,,,,5,,10250.0,,,0,2,,2026-05-01
PARC OLYMPIA,110-120,17,,,,3,,4075.0,,,0,2,,2026-05-01
LA FIESTA,30-40,19,,,,1,,2800.0,,,0,15,,2026-05-01
THE REGALIA,240-250,9,CCR,Freehold,Apartment,,,,,,0,0,2025-03-01,
NON-LANDED HOUSING DEVELOPMENT,60-70,13,,,,NA,,3400.0,,,0,54,,2026-05-01
CRYSTAL COURT,110-120,10,,,,2,,5200.0,,,0,1,,2026-04-01
RIVERBAY,40-50,12,RCR,999 yrs lease commencing from 1882,Apartment,1,798000.0,2800.0,4.2105,23.75,1,5,2025-10-01,2026-04-01
STEVENS LOFT,60-70,10,CCR,Freehold,Apartment,1,,4000.0,,,0,1,2025-01-01,2026-01-01
WOODSVILLE MANSIONS,120-130,13,,,,3,,5200.0,,,0,1,,2026-04-01
CARIBBEAN AT KEPPEL BAY,140-150,4,RCR,99 yrs lease commencing from 1999,Condominium,,,,,,0,0,2025-07-01,2025-07-01
HILLVIEW REGENCY,90-100,23,OCR,99 yrs lease commencing from 2000,Condominium,,1149900.0,,,,2,0,2025-12-01,
QUEENS PEAK,70-80,3,RCR,99 yrs lease commencing from 2015,Condominium,2,1910000.0,5000.0,3.1414,31.833,9,53,2026-06-01,2026-05-01
AURALIS,150-160,15,,,,3,,6900.0,,,0,1,,2026-01-01
THE FLORIDA,110-120,19,OCR,99 yrs lease commencing from 1997,Executive Condominium,3,1400000.0,4000.0,3.4286,29.167,3,15,2026-05-01,2026-05-01
LE CRESCENDO,80-90,14,RCR,Freehold,Condominium,2,1550000.0,3800.0,2.9419,33.991,1,18,2025-09-01,2026-04-01
3 ORCHARD BY-THE-PARK,200-210,10,,,,4,,15900.0,,,0,2,,2026-01-01
THE FLORAVALE,260-270,22,,,Executive Condominium,3,,6500.0,,,0,1,,2026-05-01
WATERBANK AT DAKOTA,110-120,14,RCR,99 yrs lease commencing from 2009,Condominium,3,2740000.0,6200.0,2.7153,36.828,2,15,2026-05-01,2026-05-01
ECO,100-110,16,OCR,99 yrs lease commencing from 2012,Condominium,3,,4800.0,,,0,7,2025-02-01,2026-05-01
CASA ROSA,210-220,19,,,,3,,5000.0,,,0,1,,2026-03-01
CASSIA VIEW,110-120,14,RCR,Freehold,Apartment,3,1950000.0,4675.0,2.8769,34.759,1,6,2025-08-01,2026-04-01
EAST VIEW 18,100-110,15,,,,3,,4300.0,,,0,1,,2025-09-01
BARTLEY RESIDENCES,90-100,19,OCR,99 yrs lease commencing from 2011,Apartment,3,1948888.0,4750.0,2.9247,34.191,3,2,2026-01-01,2026-02-01
AMBERGLADES,100-110,15,,,,,,,,,0,0,,2025-04-01
THE SPRINGS,170-180,11,,,,3,,6000.0,,,0,1,,2026-03-01
REFLECTIONS AT KEPPEL BAY,120-130,4,RCR,99 yrs lease commencing from 2006,Condominium,3,2219000.0,7000.0,3.7855,26.417,6,11,2026-04-01,2026-05-01
MODENA,160-170,18,,,,,,,,,0,0,,2025-01-01
BEDOK RESIDENCES,40-50,16,OCR,99 yrs lease commencing from 2011,Apartment,1,990000.0,3500.0,4.2424,23.571,1,19,2025-11-01,2026-05-01
INZ RESIDENCE,80-90,23,OCR,99 yrs lease commencing from 2015,Executive Condominium,3,1285000.0,3800.0,3.5486,28.18,5,2,2026-04-01,2026-05-01
YONG AN PARK,160-170,9,,,,3,,8375.0,,,0,8,,2026-03-01
THE LINE @ TANJONG RHU,30-40,15,RCR,Freehold,Condominium,1,965000.0,3100.0,3.8549,25.941,2,9,2026-05-01,2026-04-01
RHAPSODY ON MOUNT ELIZABETH,90-100,9,,,,2,,5500.0,,,0,5,,2026-03-01
NOMU,40-50,9,CCR,Freehold,Apartment,1,,3775.0,,,0,4,2025-05-01,2026-05-01
CITY LOFT,30-40,8,RCR,Freehold,Apartment,1,690000.0,2700.0,4.6957,21.296,1,15,2025-08-01,2026-05-01
THE FLORENCE RESIDENCES,90-100,19,OCR,99 yrs lease commencing from 2018,Apartment,3,1970000.0,4350.0,2.6497,37.739,11,4,2026-06-01,2026-05-01
IRESIDENCES,290-300,12,,,,3,,10000.0,,,0,1,,2026-01-01
NON-LANDED HOUSING DEVELOPMENT,190-200,10,,,,NA,,5000.0,,,0,12,,2026-04-01
ENG AUN MANSION,80-90,11,,,,NA,,3800.0,,,0,1,,2025-09-01
K-LODGE,170-180,15,,,,,,,,,0,0,,2025-05-01
RIO GARDENS,110-120,12,,,,3,,4000.0,,,0,1,,2025-10-01
ENVIO,170-180,15,,,,3,,5400.0,,,0,1,,2026-02-01
KENTISH GREEN,100-110,8,RCR,99 yrs lease commencing from 1995,Apartment,2,1400000.0,4150.0,3.5571,28.112,1,8,2025-08-01,2026-05-01
SANCTUARY GREEN,90-100,15,,,,2,,4600.0,,,0,2,,2026-05-01
MAYSPRINGS,110-120,23,OCR,99 yrs lease commencing from 1994,Apartment,3,1250000.0,4400.0,4.224,23.674,1,5,2025-09-01,2026-03-01
LE CONNEY PARK,60-70,15,OCR,Freehold,Apartment,,1194000.0,,,,1,0,2026-02-01,2025-05-01
DORSET MANSIONS,90-100,8,,,,NA,,3900.0,,,0,1,,2026-01-01
ASTORIA PARK,120-130,14,OCR,99 yrs lease commencing from 1993,Condominium,3,1648800.0,4625.0,3.3661,29.708,1,2,2026-06-01,2026-04-01
VILLA MARINA,210-220,15,OCR,99 yrs lease commencing from 1995,Condominium,,,,,,0,0,2025-05-01,2025-03-01
1953,50-60,8,,,,1,,3525.0,,,0,16,,2026-05-01
FABER RESIDENCE,80-90,5,OCR,99 yrs lease commencing from 2025,Apartment,,1866000.0,,,,56,0,2025-11-01,
REZI 26,120-130,14,,,,,,,,,0,0,,2025-03-01
CARLYX RESIDENCE,90-100,8,,,,2,,4400.0,,,0,1,,2025-10-01
RIA APARTMENTS,90-100,5,,,,,,,,,0,0,,2025-07-01
SUITES @ GUILLEMARD,90-100,15,,,,2,,4200.0,,,0,1,,2026-02-01
TWIN FOUNTAINS,140-150,25,OCR,99 yrs lease commencing from 2012,Executive Condominium,,,,,,0,0,2025-07-01,
CARPMAEL THIRTY-EIGHT,90-100,15,,,,,,,,,0,0,,2025-01-01
THE TRILINQ,160-170,5,OCR,99 yrs lease commencing from 2012,Condominium,,2800000.0,,,,1,0,2025-10-01,2025-01-01
ROYAL COURT,110-120,21,,,,3,,3800.0,,,0,1,,2025-08-01
MON JERVOIS,90-100,10,CCR,99 yrs lease commencing from 2012,Condominium,2,1980000.0,4900.0,2.9697,33.673,1,4,2025-09-01,2026-02-01
RIS GRANDEUR,140-150,18,OCR,Freehold,Condominium,4,1975000.0,5000.0,3.038,32.917,2,6,2025-10-01,2026-04-01
KI RESIDENCES AT BROOKVALE,60-70,21,OCR,999 yrs lease commencing from 1885,Condominium,2,1549000.0,4000.0,3.0988,32.271,4,32,2026-05-01,2026-04-01
SHELFORD GREEN,140-150,11,,,,2,,6000.0,,,0,1,,2025-08-01
GAMBIR RIDGE,110-120,19,OCR,Freehold,Apartment,4,2028888.0,4600.0,2.7207,36.755,1,1,2025-10-01,2025-09-01
ONE @ PULASAN,150-160,15,,,,4,,6000.0,,,0,1,,2025-12-01
SUNSTONE HILL,50-60,5,,,,1,,3400.0,,,0,1,,2025-10-01
CHANCERY PARK,170-180,11,,,,NA,,7000.0,,,0,1,,2025-11-01
CENTRAL GREEN CONDOMINIUM,70-80,3,,,,1,,3900.0,,,0,23,,2026-05-01
SEASTRAND,90-100,18,OCR,99 yrs lease commencing from 2011,Condominium,2,1253000.0,3550.0,3.3998,29.413,1,2,2025-12-01,2026-02-01
ONE OXLEY RISE,100-110,9,CCR,Freehold,Apartment,2,2150000.0,5450.0,3.0419,32.875,1,4,2025-08-01,2026-05-01
ASTON LODGE,70-80,14,RCR,Freehold,Apartment,NA,1000000.0,3900.0,4.68,21.368,1,2,2026-02-01,2026-05-01
OUE TWIN PEAKS,90-100,9,CCR,99 yrs lease commencing from 2010,Condominium,2,2408888.0,8350.0,4.1596,24.041,3,16,2026-06-01,2026-05-01
OASIS GARDEN,110-120,19,RCR,Freehold,Condominium,3,2150000.0,4375.0,2.4419,40.952,2,8,2025-10-01,2026-03-01
TWIN FOUNTAINS,110-120,25,OCR,99 yrs lease commencing from 2012,Executive Condominium,4,1619000.0,4750.0,3.5207,28.404,2,4,2026-03-01,2026-04-01
THE PALETTE,80-90,18,OCR,99 yrs lease commencing from 2010,Condominium,2,1369000.0,3812.5,3.3419,29.923,6,40,2026-06-01,2026-05-01
SURREY 21,90-100,11,,,,3,,5900.0,,,0,5,,2026-05-01
SMART SUITES,60-70,14,,,,1,,3600.0,,,0,1,,2025-08-01
THE AMBRA,70-80,15,,,,2,,3850.0,,,0,2,,2025-11-01
VARSITY PARK CONDOMINIUM,180-190,5,OCR,99 yrs lease commencing from 2004,Condominium,3,2580000.0,7900.0,3.6744,27.215,1,1,2026-06-01,2026-04-01
THOMSON IMPERIAL COURT,120-130,20,,,,3,,4100.0,,,0,1,,2026-04-01
THE WATERGARDENS AT CANBERRA,50-60,27,,,,2,,3100.0,,,0,6,,2026-03-01
TELOK KURAU LODGE,110-120,15,,,,NA,,4200.0,,,0,2,,2026-01-01
THE LUCENT,220-230,15,OCR,Freehold,Apartment,,3358000.0,,,,1,0,2026-01-01,
THE GLADES,220-230,16,,,,4,,8000.0,,,0,1,,2026-02-01
NAVA GROVE,80-90,21,RCR,99 yrs lease commencing from 2024,Condominium,,2569000.0,,,,5,0,2025-10-01,
ONE TREE HILL RESIDENCE,130-140,10,,,,3,,6000.0,,,0,1,,2025-09-01
HILLCREST ARCADIA,250-260,11,CCR,99 yrs lease commencing from 1975,Condominium,4,3288000.0,8800.0,3.2117,31.136,1,3,2025-09-01,2026-01-01
THE BERTH BY THE COVE,210-220,4,,,,4,,9800.0,,,0,1,,2025-08-01
MACKENZIE 88,40-50,9,CCR,Freehold,Apartment,1,805000.0,3125.0,4.6584,21.467,4,16,2026-05-01,2026-05-01
LEEDON RESIDENCE,90-100,10,CCR,Freehold,Condominium,2,2820000.0,6750.0,2.8723,34.815,2,12,2026-02-01,2026-05-01
PENROSE,50-60,14,,,,2,,4000.0,,,0,11,,2026-03-01
PARC SOMME,20-30,8,,,,1,,3200.0,,,0,1,,2025-12-01
GOODWOOD GARDENS,160-170,10,CCR,Freehold,Apartment,3,4150000.0,8500.0,2.4578,40.686,2,1,2026-02-01,2025-08-01
THE REEF AT KING'S DOCK,70-80,4,RCR,99 yrs lease commencing from 2021,Condominium,2,1927000.0,5500.0,3.425,29.197,4,8,2026-03-01,2026-05-01
QUEENS PEAK,130-140,3,,,,4,,10400.0,,,0,2,,2025-08-01
THE AMORE,110-120,19,OCR,99 yrs lease commencing from 2013,Executive Condominium,4,1938444.0,2820.0,1.7457,57.283,4,1,2026-04-01,2026-05-01
NORTHVALE,120-130,23,OCR,99 yrs lease commencing from 1995,Apartment,3,1400000.0,4200.0,3.6,27.778,3,7,2026-04-01,2026-04-01
JANSEN HOUSE,120-130,19,OCR,999 yrs lease commencing from 1876,Apartment,,2736500.0,,,,2,0,2026-02-01,
SPOTTISWOODE 18,100-110,2,,,,,,,,,0,0,,2025-05-01
PARC BOTANNIA,40-50,28,OCR,99 yrs lease commencing from 2016,Condominium,1,800000.0,2725.0,4.0875,24.465,7,30,2026-05-01,2026-05-01
STRATFORD COURT,160-170,16,OCR,99 yrs lease commencing from 1995,Condominium,,,,,,0,0,2025-01-01,2025-06-01
ECOPOLITAN,90-100,19,OCR,99 yrs lease commencing from 2012,Executive Condominium,3,1520000.0,3950.0,3.1184,32.068,4,4,2026-06-01,2026-05-01
TIARA,130-140,9,,,,3,,7400.0,,,0,13,,2026-05-01
KI RESIDENCES AT BROOKVALE,150-160,21,,,,4,,7500.0,,,0,1,,2025-09-01
WATERTOWN,80-90,19,OCR,99 yrs lease commencing from 2011,Apartment,2,1620000.0,4200.0,3.1111,32.143,3,18,2026-06-01,2026-05-01
AMO RESIDENCE,50-60,20,,,,NA,,3500.0,,,0,10,,2026-05-01
COMMONWEALTH TOWERS,40-50,3,RCR,99 yrs lease commencing from 2013,Condominium,1,968000.0,3500.0,4.3388,23.048,16,151,2026-06-01,2026-05-01
ST REGIS RESIDENCES SINGAPORE,350-400,10,CCR,999 yrs lease commencing from 1995,Apartment,,10080000.0,,,,1,0,2025-10-01,
THE ANCHORAGE,190-200,3,RCR,Freehold,Condominium,4,4100000.0,8500.0,2.4878,40.196,1,4,2025-10-01,2025-12-01
THE ANCHORAGE,150-160,3,,,,3,,6050.0,,,0,5,,2026-03-01
STARLIGHT SUITES,100-110,9,CCR,Freehold,Apartment,,,,,,0,0,2025-01-01,
GRAND DUNMAN,170-180,15,RCR,99 years leasehold,Apartment,,4426500.0,,,,10,0,2026-04-01,
HERITAGE RESIDENCES,40-50,15,,,,1,,2600.0,,,0,1,,2026-05-01
GILSTEAD 38,120-130,11,,,,3,,5500.0,,,0,1,,2026-02-01
183 LONGHAUS,40-50,20,,,,2,,3200.0,,,0,5,,2026-03-01
JARDIN,170-180,21,RCR,Freehold,Condominium,4,,8500.0,,,0,1,2025-07-01,2025-08-01
THE ARTE,170-180,12,RCR,Freehold,Condominium,4,,6900.0,,,0,12,2025-01-01,2026-05-01
PARC VERA,70-80,19,OCR,99 yrs lease commencing from 2010,Condominium,2,1200000.0,3300.0,3.3,30.303,4,16,2026-06-01,2026-05-01
SELETARIS,130-140,27,OCR,Freehold,Condominium,3,1840000.0,3800.0,2.4783,40.351,1,4,2025-11-01,2026-05-01
FLORIDIAN,80-90,21,RCR,Freehold,Condominium,2,2143000.0,4500.0,2.5198,39.685,1,30,2025-10-01,2026-05-01
ALEXIS,60-70,3,,,,2,,4000.0,,,0,8,,2026-04-01
M SUITES,90-100,14,,,,3,,5250.0,,,0,1,,2025-11-01
PARK EAST,180-190,15,OCR,Freehold,Condominium,NA,,6100.0,,,0,2,2025-07-01,2026-01-01
BISHAN 8,120-130,20,,,,2,,4200.0,,,0,1,,2026-02-01
NYON,40-50,15,RCR,Freehold,Apartment,1,1100000.0,3475.0,3.7909,26.379,1,10,2026-05-01,2026-04-01
THE LINQ @ BEAUTY WORLD,30-40,21,,,,1,,3200.0,,,0,3,,2026-04-01
HARBOUR VIEW TOWERS,70-80,4,,,,1,,3800.0,,,0,19,,2026-05-01
AXIS @ SIGLAP,80-90,15,OCR,Freehold,Apartment,2,1560000.0,3800.0,2.9231,34.211,1,8,2025-11-01,2026-03-01
LUMINA GRAND,100-110,23,OCR,99 yrs lease commencing from 2022,Executive Condominium,,1688000.0,,,,1,0,2026-03-01,
BEACON HEIGHTS,80-90,12,RCR,999 yrs lease commencing from 1882,Condominium,2,1395000.0,3650.0,3.1398,31.849,2,19,2026-05-01,2026-04-01
KOVAN ESQUIRE,100-110,19,,,,3,,3200.0,,,0,1,,2026-04-01
HARBOUR SUITES,60-70,4,,,,2,,3050.0,,,0,2,,2026-01-01
8 SAINT THOMAS,70-80,9,CCR,Freehold,Condominium,2,2544000.0,6550.0,3.0896,32.366,2,17,2026-04-01,2026-04-01
GARDEN APARTMENTS,240-250,10,,,,NA,,16500.0,,,0,1,,2026-03-01
CANNINGHILL PIERS,100-110,6,RCR,99 yrs lease commencing from 2021,Apartment,,3562500.0,,,,4,0,2026-06-01,
THE CENTRIO,110-120,12,,,,3,,6500.0,,,0,1,,2026-02-01
SELETAR PARK RESIDENCE,210-220,28,,,,3,,4800.0,,,0,1,,2025-08-01
CLAREMONT,70-80,9,,,,,,,,,0,0,,2025-06-01
PARK NATURA,160-170,23,RCR,Freehold,Condominium,4,2900000.0,6000.0,2.4828,40.278,1,5,2025-08-01,2026-05-01
DUNEARN LODGE,100-110,11,CCR,99 yrs lease commencing from 1993,Apartment,,,,,,0,0,2025-03-01,
THE LINCOLN RESIDENCES,170-180,11,CCR,Freehold,Condominium,4,,8500.0,,,0,5,2025-07-01,2026-05-01
BUKIT 828,60-70,23,,,,2,,3400.0,,,0,1,,2025-12-01
NEWTON SUITES,70-80,11,CCR,Freehold,Apartment,2,1820000.0,4550.0,3.0,33.333,2,22,2026-04-01,2026-05-01
SOPHIA HILLS,90-100,9,CCR,99 yrs lease commencing from 2013,Condominium,3,2320000.0,6500.0,3.3621,29.744,1,9,2026-03-01,2026-04-01
THE ESPARIS,90-100,18,,,Executive Condominium,2,,3400.0,,,0,1,,2025-12-01
LEGENDA AT JOO CHIAT,90-100,15,RCR,99 yrs lease commencing from 2001,Condominium,2,,5300.0,,,0,1,2025-01-01,2026-01-01
THE STELLAR,200-210,5,OCR,Freehold,Condominium,,,,,,0,0,2025-01-01,2025-03-01
EASTWOOD CENTRE,130-140,16,OCR,99 yrs lease commencing from 1995,Apartment,,1550000.0,,,,1,0,2025-10-01,
CITYVISTA RESIDENCES,240-250,9,CCR,Freehold,Condominium,4,5500000.0,12000.0,2.6182,38.194,1,8,2025-09-01,2026-03-01
IDYLLIC EAST,170-180,16,OCR,Freehold,Apartment,,2430000.0,,,,1,0,2025-10-01,
REFLECTIONS AT KEPPEL BAY,>300,4,,,,4,,20600.0,,,0,6,,2026-02-01
THE LAKEFRONT RESIDENCES,260-270,22,,,,5,,8500.0,,,0,1,,2026-03-01
CHANGI GREEN,120-130,16,,,,3,,3500.0,,,0,1,,2026-04-01
LAKEVILLE,80-90,22,OCR,99 yrs lease commencing from 2013,Condominium,3,1754000.0,5100.0,3.4892,28.66,2,18,2026-05-01,2026-04-01
THE PETALS,300-350,23,OCR,Freehold,Condominium,,,,,,0,0,2025-03-01,
FERRARIA PARK CONDOMINIUM,150-160,17,OCR,Freehold,Condominium,3,,4750.0,,,0,1,2025-07-01,2026-04-01
KANDIS RESIDENCE,90-100,27,,,,,,,,,0,0,,2025-04-01
CAMBIO SUITES,40-50,19,,,,2,,2650.0,,,0,3,,2026-02-01
CHELSEA LODGE,50-60,15,RCR,Freehold,Apartment,,,,,,0,0,2025-07-01,
REZI 24,40-50,14,RCR,Freehold,Apartment,1,806000.0,3150.0,4.6898,21.323,1,11,2026-06-01,2026-05-01
ASTRID MEADOWS,190-200,10,,,,NA,,8000.0,,,0,1,,2025-10-01
ASTRID MEADOWS,150-160,10,,,,NA,,6550.0,,,0,2,,2025-11-01
VICTORY HEIGHTS,100-110,12,RCR,Freehold,Apartment,3,,4200.0,,,0,4,2025-01-01,2026-02-01
R MAISON,70-80,13,,,,,,,,,0,0,,2025-04-01
